TIME,REP,ANALYTE,C,G,GN,N
0,1,n2,529.5863449,529.5863449,529.5863449,529.5863449
0,2,n2,524.2834462,524.2834462,524.2834462,524.2834462
0,3,n2,530.8652929,530.8652929,530.8652929,530.8652929
0,4,n2,530.5009966,530.5009966,530.5009966,530.5009966
0,5,n2,528.0338459,528.0338459,528.0338459,528.0338459
2,1,n2,521.1146892,523.8484811,575.5207166,568.3162869
2,2,n2,522.8957591,525.8256431,581.6079642,530.3112598
2,3,n2,526.8945887,526.3184125,559.0656581,583.2434875
2,4,n2,530.9245723,582.1192139,517.2315608,531.1787016
2,5,n2,531.7352742,532.5348584,533.7755829,547.3673002
7,1,n2,552.0304167,574.6009712,613.2713366,575.5775709
7,2,n2,545.9255891,583.9994559,595.9303459,554.2207572
7,3,n2,550.3517775,574.1231797,598.3303885,550.5880184
7,4,n2,548.2296768,575.1914355,590.0055969,551.7699929
7,5,n2,550.2128911,576.0514608,600.402755,595.0804285
9,1,n2,557.1550611,581.939182,602.8694812,564.2602683
9,2,n2,558.6742596,584.4612431,610.7374148,583.4853949
9,3,n2,560.1235683,583.9050509,611.7583093,560.7415992
9,4,n2,554.7330827,587.2780015,590.9907464,563.9521302
9,5,n2,553.2160558,585.839589,635.5495,560.7765317
14,1,n2,555.6740845,577.0409856,622.1959473,557.6461931
14,2,n2,554.5376084,576.1737519,615.4772186,560.7181655
14,3,n2,558.3996721,574.5322932,620.6512164,561.3752913
14,4,n2,559.2421293,577.532319,617.7566879,559.5646401
14,5,n2,574.1458887,577.9786487,629.3870545,560.7458131
